PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20231204,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231205,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231206,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231207,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231208,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231211,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231212,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231213,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231214,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231215,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231218,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240102062408
20231219,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240103065948
20231220,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240104065906
20231221,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,1780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240105065912
20231222,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,2280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240106065856
20231226,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,2280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240110065931
20231227,42,110403,C-유통,11,서울,1101,서울,211,배추,3,가을,1,소매,4,상품,2280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240111065935
20231228,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240112065929
20231229,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240113065914
20240102,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240117065900
20240103,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240118065914
20240104,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240119065906
20240105,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240120065927
20240108,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240123065913
20240109,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240124065912
20240110,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240125065917
20240111,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240126065910
20240115,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,1800,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,Y,20240130065928
20240116,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,1800,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,Y,20240131065939
20240117,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,1800,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,Y,20240201065942
20240118,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,1800,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,Y,20240202065931
20240119,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240203065943
20240122,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240206065935
20240123,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240207065925
20240124,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240208065918
20240125,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240209065927
20240126,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2880,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240210065928
20240129,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2380,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240213065937
20240130,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2380,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240214065934
20240131,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2380,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240215065950
20240201,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2380,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240216065942
20240202,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240217065957
20240205,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240220065942
20240206,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240221112510
20240207,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240222065940
20240208,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240223065943
20240213,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240228065936
20240214,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240229065935
20240215,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240301070020
20240216,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240302065953
20240219,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240305065952
20240220,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240306065941
20240221,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240307065956
20240222,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240308065948
20240223,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3580,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240309065947
20240226,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3580,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240312070022
20240227,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3580,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240313065944
20240228,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3580,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240314065945
20240229,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3580,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240318011344
20240304,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240319070511
20240305,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240320070501
20240306,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240321070453
20240307,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240322070436
20240308,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240323070536
20240311,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240326070457
20240312,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2780,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240327070513
20240313,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240328070517
20240314,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240329070517
20240315,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240330070516
20240318,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240402070508
20240319,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240403070538
20240320,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240404070521
20240321,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240405070503
20240322,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240406070524
20240325,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240409070549
20240326,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240410070524
20240327,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240411070522
20240328,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2180,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240412070542
20240329,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240413070523
20240401,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240416070514
20240402,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240417070513
20240403,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240418070530
20240404,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240419070512
20240405,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2950,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240420070512
20240408,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2950,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240423070541
20240409,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2950,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240424070521
20240411,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,Y,20240426070525
20240412,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2750,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240427070548
20240415,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2750,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240430070532
20240416,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2750,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240501070528
20240417,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2750,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240502070559
20240418,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2750,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240503070523
20240419,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240504070522
20240422,42,110403,C-유통,11,서울,1101,서울,211,배추,6,월동,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,,,N,20240507070525
20240424,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240509070535
20240425,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240510070557
20240426,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240511070530
20240429,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240514070607
20240430,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240515070520
20240502,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2980,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240517070526
20240503,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240518070528
20240507,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240522070536
20240508,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240523070554
20240509,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240524070546
20240510,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240525070546
20240513,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240528070601
20240514,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240529070534
20240516,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240531070600
20240517,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240601070544
20240520,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240604020620
20240521,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240605070543
20240522,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240606070544
20240523,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240607070559
20240524,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240608070554
20240527,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240611070557
20240528,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,1580,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240612070550
20240529,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240613070605
20240530,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240614070543
20240531,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240615070558
20240603,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240618070553
20240604,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240619070544
20240607,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240622070550
20240610,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240625072132
20240611,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240626070553
20240612,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240627070548
20240613,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240628070549
20240614,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240629070612
20240617,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240702070604
20240618,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240703070603
20240619,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240704070555
20240620,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240705070614
20240621,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240706070547
20240624,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240709070559
20240625,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240710070548
20240626,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240711070550
20240627,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240712070604
20240628,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240713070620
20240701,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240716070551
20240702,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240717070557
20240703,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240718070551
20240704,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,2480,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240719070556
20240705,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240720070714
20240708,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240723120613
20240709,42,110403,C-유통,11,서울,1101,서울,211,배추,1,봄,1,소매,4,상품,3280,1,kg,10.0,kg(그물망 3포기),1.0,포기,1.0,포기,N,20240724070649
